Description,Body,Cylinders,Description*,Drivetrain,Engine Displacement,Fuel System,Fuel Type,Generation,Make,Model,Sub-model,Transmission,Trim
F8 Spider 3.9L V8 Rear-Wheel Drive (RWD),Coupe,V8,F8 Spider 3.9L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.9L,Turbocharged Direct Injection,Gas,F8 Spider 2019-2023,Ferrari,F8,,Automatic,Spider
F12 Berlinetta 6.3L V12 Rear-Wheel Drive (RWD),Coupe,V12,F12 Berlinetta 6.3L V12 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),6.3L,Direct Injection,Gas,F12 Berlinetta 2012-2015,Ferrari,F12,,Automatic,Berlinetta
Ram 1993-2002,SUV,,Ram,,,,"Diesel, Gas",,Dodge,Ram,"Ram 3.9L V6 All-Wheel Drive (AWD) , Ram 5.2L V8 All-Wheel Drive (AWD) , Ram 5.9L V8 All-Wheel Drive (AWD) , Ram 8.0L V10 All-Wheel Drive (AWD) , Ram 5.9L 5AT L6 All-Wheel Drive (AWD) , Ram 5.9L 5MT L6 All-Wheel Drive (AWD)",,
F12tdf 6.3L V12 Rear-Wheel Drive (RWD),Coupe,V12,F12 tdf 6.3L V12 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),6.3L,Direct Injection,Gas,F12tdf 2015-2017,Ferrari,F12,,Automatic,tdf
Ram 3.9L V6 All-Wheel Drive (AWD),SUV,V6,Ram 3.9L V6 All-Wheel Drive (AWD),All-Wheel Drive (AWD),3.9L,Electronic Injection,Gas,Ram 1993-2002,Dodge,Ram,,Manual,
Ram 5.2L V8 All-Wheel Drive (AWD),SUV,V8,Ram 5.2L V8 All-Wheel Drive (AWD),All-Wheel Drive (AWD),5.2L,Electronic Injection,Gas,Ram 1993-2002,Dodge,Ram,,Manual,
Ram 5.9L V8 All-Wheel Drive (AWD),SUV,V8,Ram 5.9L V8 All-Wheel Drive (AWD),All-Wheel Drive (AWD),5.9L,Electronic Injection,Gas,Ram 1993-2002,Dodge,Ram,,Manual,
Ram 8.0L V10 All-Wheel Drive (AWD),SUV,V10,Ram 8.0L V10 All-Wheel Drive (AWD),All-Wheel Drive (AWD),8.0L,Electronic Injection,Gas,Ram 1993-2002,Dodge,Ram,,Manual,
488 Pista 3.9L V8 Rear-Wheel Drive (RWD),Coupe,V8,488 Pista 3.9L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.9L,Turbocharged Direct Injection,Gas,488 Pista 2018-Present,Ferrari,488,,Automatic,Pista
Ram 5.9L 5AT L6 All-Wheel Drive (AWD),SUV,L6,Ram 5.9L L6 All-Wheel Drive (AWD),All-Wheel Drive (AWD),5.9L,Electronic Injection,Diesel,Ram 1993-2002,Dodge,Ram,,Automatic,
488 GTB 3.9L V8 Rear-Wheel Drive (RWD),Coupe,V8,488 GTB 3.9L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.9L,Turbocharged Direct Injection,Gas,488 GTB 2015-2019,Ferrari,488,,Automatic,GTB
488 Spider 3.9L V8 Rear-Wheel Drive (RWD),Convertible,V8,488 Spider 3.9L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.9L,Turbocharged Direct Injection,Gas,488 Spider 2016-2019,Ferrari,488,,Automatic,Spider
Ram 5.9L 5MT L6 All-Wheel Drive (AWD),SUV,L6,Ram 5.9L L6 All-Wheel Drive (AWD),All-Wheel Drive (AWD),5.9L,Electronic Injection,Diesel,Ram 1993-2002,Dodge,Ram,,Manual,
458 Italia 4.5L V8 Rear-Wheel Drive (RWD),Coupe,V8,458 Italia 4.5L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.5L,Turbocharged direct injection,Gas,458 Italia 2009-2015,Ferrari,458,,Automatic,Italia
458 Speciale 4.5L V8 Rear-Wheel Drive (RWD),Coupe,V8,458 Speciale 4.5L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.5L,Direct injection,Gas,458 Speciale 2013-2015,Ferrari,458,,Automatic,Speciale
